         988
      890000      640063  2.5932901E-02  -16.96471    
      890000      650064  3.0243287E-02  -18.49785    
      890000      660065  3.7395645E-02  -31.24967    
      890000      670066  0.1146930      -7.872317    
      900000       20001  9.7644189E-03  -16.94935    
      900000       30002  1.8114567E-02  -20.65535    
      900000       40003  1.5913747E-02  -23.70704    
      900000       50004  3.9771558E-03  -29.13579    
      900000       60005  1.8630048E-03  -57.44788    
      900000       60007  2.2341928E-03   44.73222    
      900000       70008  1.3932382E-02  -7.178752    
      900000       80009  1.3369755E-02  -18.94763    
      900000       90010  2.2194089E-02  -17.17726    
      900000      100011  1.0493810E-02  -18.07836    
      900000      110012  5.7086600E-03  -16.78396    
      900000      120013  8.8841561E-03  -17.17477    
      900000      130014  4.9823774E-03  -14.17518    
      900000      140015  3.2113742E-03  -14.71034    
      900000      150016  2.8164349E-03  -14.72036    
      900000      160017  2.3586780E-03  -13.75228    
      900000      170018  2.4459292E-03  -11.77713    
      900000      180019  2.7295107E-03  -10.69355    
      900000      190020  2.2975157E-03  -9.045182    
      900000      200021  2.3576866E-03  -8.839667    
      900000      230022  1.5658524E-02   19.53355    
      900000      230024  2.3883205E-02  -46.66471    
      900000      240025  6.7049548E-02  -12.04658    
      900000      250026  3.5030596E-02  -20.92018    
      900000      260027  2.1770317E-02  -20.89491    
      900000      270028  2.4260275E-02  -19.38985    
      900000      290028  3.1430053E-03  -45.15846    
      900000      290030  1.3925167E-03  -18.46209    
      900000      440045  2.8409110E-02  -20.49122    
      900000      450046  3.8992763E-02  -25.05897    
      900000      460047  2.8703196E-02  -18.67556    
      900000      480049  4.2721801E-03  -15.92941    
      900000      340035  3.7199605E-02  -27.19650    
      900000      350036  6.3646652E-02  -11.58500    
      900000      360037  1.9631732E-02  -24.52117    
      900000      370038  3.1159632E-02  -15.13702    
      900000      390040  8.9874858E-04  -18.80980    
      900000      500051  1.7596796E-02  -31.15222    
      900000      510052  5.1626526E-02  -23.56388    
      900000      530054  4.0640002E-03  -17.30499    
      900000      540055  3.4729193E-03  -12.59328    
      910000       20001  1.4178270E-02  -17.08040    
      910000       30002  3.0369420E-02  -20.18287    
      910000       40003  3.1735718E-02  -21.11415    
      910000       50004  1.0767914E-02  -21.67311    
      910000       60005  1.1577126E-02  -23.73101    
      910000       70006  1.7648466E-02  -28.11213    
      910000       80007  9.9816043E-03  -32.05700    
      910000       80009  1.1602475E-02  -18.77123    
      910000       90010  3.4595925E-02  -15.41624    
      910000      100011  1.7092211E-02  -17.06825    
      910000      110012  9.1364896E-03  -16.82606    
      910000      120013  1.4076545E-02  -17.38854    
      910000      130014  7.8403400E-03  -14.51958    
      910000      140015  4.9764118E-03  -15.19537    
      910000      150016  4.2672688E-03  -15.34327    
      910000      160017  3.4729063E-03  -14.42010    
      910000      170018  3.4978592E-03  -12.55043    
      910000      180019  3.8041745E-03  -11.48505    
      910000      190020  3.1221448E-03  -9.831659    
      910000      200021  3.1108954E-03  -9.535278    
      910000      240023  1.1572142E-02   12.37240    
      910000      240025  7.3501258E-03  -22.42658    
      910000      260025  4.0501654E-03  0.6646420    
      910000      260027  8.9926189E-03  -23.50064    
      910000      270028  2.5929090E-02  -21.86388    
      910000      290028  7.1990923E-03  -27.03426    
      910000      290030  1.1234514E-03  -43.10425    
      910000      310032  3.2858355E-03  -8.636190    
      910000      440045  4.3785919E-02  -30.99790    
      910000      450046  5.3432509E-02  -25.06566    
      910000      460047  4.2335022E-02  -17.78412    
      910000      470048  5.3327470E-03  -25.22213    
      910000      480049  6.1924024E-03  -16.67061    
      910000      340033  1.2341984E-02   13.73862    
      910000      350034  6.6321548E-03   18.45385    
      910000      350036  7.3033147E-03  -15.34908    
      910000      370036  7.7909632E-03  -8.243159    
      910000      370038  3.1940121E-02  -16.33311    
      910000      400039  4.0041085E-04   88.31470    
      910000      500051  2.6392654E-02  -32.80510    
      910000      510052  7.3507607E-02  -24.13211    
      910000      530054  5.8970293E-03  -17.99484    
      910000      540055  4.9934373E-03  -13.40047    
      920000       20001  1.2669978E-02  -18.61079    
      920000       30002  2.7834903E-02  -21.71675    
      920000       40003  3.0637957E-02  -22.00357    
      920000       50004  1.1627669E-02  -21.17519    
      920000       60005  1.6057141E-02  -20.33029    
      920000       70006  3.6080033E-02  -21.72181    
      920000       80007  5.1914554E-02  -17.74496    
      920000       90008  8.3640190E-03  -15.19518    
      920000       90010  2.5647469E-02  -15.53104    
      920000      100011  1.6424771E-02  -19.46314    
      920000      110012  1.1927248E-02  -18.13836    
      920000      120013  1.9839643E-02  -18.27352    
      920000      130014  1.1912997E-02  -15.13129    
      920000      140015  7.8279525E-03  -15.92462    
      920000      150016  6.6012195E-03  -16.14552    
      920000      160017  5.1878728E-03  -15.16323    
      920000      170018  5.0335000E-03  -13.32634    
      920000      180019  5.3029498E-03  -12.21223    
      920000      190020  4.2271107E-03  -10.50519    
      920000      200021  4.0825689E-03  -10.10192    
      920000      230022  2.0262426E-02  -3.440046    
      920000      240023  1.6720323E-02  -2.082242    
      920000      250024  4.5009777E-03   4.017852    
      920000      260025  1.3847993E-02  -13.17011    
      920000      270026  1.0940273E-03   2.020080    
      920000      270028  1.7447151E-02  -20.44352    
      920000      290028  1.7504970E-02  -24.90378    
      920000      300029  2.2690305E-03  -9.009519    
      920000      310032  4.1762711E-03  -8.264632    
      920000      450044  2.3668073E-02   14.77716    
      920000      450046  4.2276580E-02  -23.21705    
      920000      460047  5.9951834E-02  -13.50199    
      920000      470048  7.8647323E-03  -23.74734    
      920000      480049  8.9452453E-03  -16.50022    
      920000      340033  1.5990628E-02   1.639603    
      920000      350034  1.3734910E-02  -3.649739    
      920000      360035  5.0822995E-03  -8.276511    
      920000      370038  2.4017300E-02  -14.85635    
      920000      400039  6.5276632E-03  -13.07112    
      920000      420043  5.7687783E-03  -9.534364    
      920000      510050  1.5358579E-02  -33.99436    
      920000      510052  8.4579393E-02  -25.79185    
      920000      530054  8.4854318E-03  -17.23701    
      920000      540055  7.1917763E-03  -13.90131    
      930000       20001  1.0645025E-02  -17.50864    
      930000       30002  2.3147114E-02  -20.83718    
      930000       40003  2.5467264E-02  -21.36929    
      930000       50004  9.8100798E-03  -21.03411    
      930000       60005  1.4640096E-02  -21.32224    
      930000       70006  3.9680522E-02  -24.72471    
      930000       80007  8.4709071E-02  -22.53901    
      930000       90008  5.5382028E-02  -21.12077    
